training_name,reference_date,location,horizon,WIS,MAE
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,49,0,0.19407364516458964,0.3378064596343495
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,49,1,0.1731058966047442,0.0469169197877517
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,49,2,0.2996699189456354,0.6241543090729937
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,49,3,0.29702386322806723,0.5403844260075352
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,50,0,0.34595821470970833,0.6931471805599453
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,50,1,0.3768470192336563,0.6241543090729939
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,50,2,0.24075499161475047,0.6931471805599453
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,50,3,0.2776912596401323,0.2097205309820691
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,51,0,0.07726837409271149,0.08780220344444745
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,51,1,0.08173734802458507,0.04727730457680179
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,51,2,0.12351541561942724,0.1887113548927255
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,51,3,0.09873247106062844,0.07208572677295422
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,53,0,0.1156301518112452,0.06010392406970544
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,53,1,0.11917562041102865,0.1261512853269
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,53,2,0.11468746731564311,0.0
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,53,3,0.16440987927488218,0.24387944979338805
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,54,0,0.20355593406333683,0.0800427076735365
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,54,1,0.2523890830722002,0.3886579897917831
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,54,2,0.17139458510167435,0.2231435513142097
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,54,3,0.29178868753090353,0.5201280164283042
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,55,0,0.1813781066465626,0.34484048629172936
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,55,1,0.12860064610175173,0.13248918304607904
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,55,2,0.16986323379741575,0.22884157242884773
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,55,3,0.15378665836774155,0.040821994520255256
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,56,0,0.20727051186256282,0.456758402495715
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,56,1,0.3946203126344497,0.5978370007556205
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,56,2,0.33184509676823626,0.33647223662121273
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,56,3,0.3096984833566952,0.2876820724517808
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,72,0,0.13411567387124865,0.21030790251143738
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,72,1,0.15658729781747713,0.2300890722142328
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,72,2,0.21339733945957998,0.3661040342275843
